0|laser-helius  | 2026-04-23T19:44:08: [rpc-health] jito-sender recovered (rtt=7ms threshold=150ms)
0|laser-helius  | 2026-04-23T19:46:26: [whale-debug] [feed:laserstream] whale:tx BUY amount=1.367785 SOL token=B4bvFcaN...
0|laser-helius  | 2026-04-23T19:46:26: [whale-debug] emit signal:trade BUY protocol=UNKNOWN feed=grpc whale=FFEjC9MH... token=B4bvFcaN...
0|laser-helius  | 2026-04-23T19:46:26: [jupiter] v1 metis-instructions terminal error -> fallback to v2 /order: Jupiter /quote (quote): HTTP 400 — {"error":"No routes found","errorCode":"NO_ROUTES_FOUND"}
0|laser-helius  | 2026-04-23T19:46:26: [whale-debug] prebuild cache HIT side=BUY token=B4bvFcaN... waitMs=428 -> skip duplicate Jupiter call
0|laser-helius  | 2026-04-23T19:46:26: [latency] pipeline=471ms ingestDetect=3ms ingestSignal=5ms ingestTotal=474ms signalQueue=3ms execTotal=35ms quoteBuild=428ms deserialize=1ms tipInject=5ms tipLamports=300000 sign=4ms serialize=1ms send=14ms status=submitted feed=grpc sender=helius whale=FFEj...
0|laser-helius  | 2026-04-23T19:46:27: [whale-debug] [feed:laserstream] whale:tx BUY amount=0.900155 SOL token=AiNFufCf...
0|laser-helius  | 2026-04-23T19:46:27: [whale-debug] emit signal:trade BUY protocol=METEORA feed=grpc whale=2NAgdRL7... token=AiNFufCf...
0|laser-helius  | 2026-04-23T19:46:27: [whale-debug] prebuild cache HIT side=BUY token=AiNFufCf... waitMs=36 -> skip duplicate Jupiter call
0|laser-helius  | 2026-04-23T19:46:27: [latency] pipeline=49ms ingestDetect=0ms ingestSignal=1ms ingestTotal=49ms signalQueue=1ms execTotal=11ms quoteBuild=36ms deserialize=0ms tipInject=1ms tipLamports=300000 sign=1ms serialize=0ms send=8ms status=submitted feed=grpc sender=helius whale=2NAg...
0|laser-helius  | 2026-04-23T19:47:00: [whale-debug] [feed:laserstream] whale:tx SELL amount=1.735337 SOL token=B4bvFcaN...
0|laser-helius  | 2026-04-23T19:47:00: [whale-debug] emit signal:trade SELL protocol=UNKNOWN feed=grpc whale=FFEjC9MH... token=B4bvFcaN...
0|laser-helius  | 2026-04-23T19:47:00: [whale-debug] sell base start attempts=3 whale=FFEjC9MH... token=B4bvFcaN...
0|laser-helius  | 2026-04-23T19:47:00: [jupiter] v1 metis-instructions terminal error -> fallback to v2 /order: Jupiter /quote (quote): HTTP 400 — {"error":"No routes found","errorCode":"NO_ROUTES_FOUND"}
0|laser-helius  | 2026-04-23T19:47:01: [whale-debug] prebuild cache HIT side=SELL token=B4bvFcaN... waitMs=248 -> skip duplicate Jupiter call
0|laser-helius  | 2026-04-23T19:47:01: [whale-debug] sell attempt #1/3 status=submitted whale=FFEjC9MH... token=B4bvFcaN...
0|laser-helius  | 2026-04-23T19:47:01: [latency] pipeline=275ms ingestDetect=1ms ingestSignal=4ms ingestTotal=276ms signalQueue=1ms execTotal=17ms quoteBuild=248ms deserialize=0ms tipInject=1ms tipLamports=300000 sign=3ms serialize=0ms send=12ms sellRetry=sequential:1/3 sellWinner=#1 status=submitted feed=grpc sender=helius whale=FFEj...
